key	d_min	B-HA	B-overall
2fdn/w1/	0.94	5.96	5.66
2fea/w1/	2	47.64	28.58
2fea/w2/	2	47.64	27.57
2ffj/w1/	2.45	71.98	44.53
2ffj/w2/	2.66	71.98	53.71
2ffj/w3/	2.45	71.98	43.67
2fg0/w1/	1.79	21.6	23.9
2fg0/w2/	1.79	21.6	23.43
2fg9/w1/	2.2	63.95	48.02
2fg9/w2/	2.2	63.95	47.42
2fg9/w3/	2.2	63.95	48.86
2fna/w1/	2	51.07	31.25
2fna/w2/	2	51.07	30.88
2fqp/w1/	1.8	23.39	11.28
2fqp/w2/	1.8	23.39	11.31
2fur/w1/	1.8	38.78	25.27
2fur/w2/	1.8	38.78	25.74
2fur/w3/	1.9	38.78	24.7
2fzt/w1/	2.05	40.9	20.63
2fzt/w2/	2	40.9	21.13
2g0t/w1/	2.67	51.79	36.93
2g0t/w2/	2.82	51.79	33.51
2g0t/w3/	2.74	51.79	35.52
2g42/w1/	2.28	70.22	35.52
2gc9/w1/	1.7	17.07	12.5
2gc9/w2/	1.7	17.07	14.49
2hba/w1/	1.25	13.99	13.99
2nlv/w1/	1.3	17.08	10.36
2nlv/w2/	1.3	17.08	10.32
2nlv/w3/	1.33	17.08	11.76
2nuj/w1/	2	26.82	25.11
2nwv/w1/	1.85	47.05	23.72
2nwv/w2/	1.9	47.05	24.07
2nwv/w3/	1.95	47.05	22.82
2o08/w1/	1.9	33.48	25.15
2o08/w2/	2.46	33.48	40.34
2o08/w3/	2.47	33.48	40.17
2o08/w4/	2.46	33.48	41.04
2o0h/w1/	1.85	34.75	34.75
2o1q/w1/	1.5	24.18	17.04
2o1q/w2/	2	24.18	22.5
2o1q/w3/	2	24.18	24.93
2o1q/w4/	2	24.18	22.83
2o2x/w1/	1.5	10.96	11.24
2o2x/w2/	1.5	10.96	11.26
2o2z/w1/	2.6	51.47	34.76
2o3l/w1/	2.05	52.52	31.44
2o3l/w2/	2	52.52	31.16
2o3l/w3/	2	52.52	31.15
2o62/w1/	1.75	28.59	16.69
2o7t/w1/	2.1	60.21	35.54
2o7t/w2/	2.1	60.21	33.57
2o8q/w1/	1.55	17.58	19.82
2o8q/w2/	2.48	26.52	43.17
2o8q/w3/	2.48	26.52	42.74
2o8q/w4/	2.48	26.52	42.45
2obp/w1/	1.7	30.63	23.95
2obp/w2/	1.7	30.63	24.07
2obp/w3/	1.7	30.63	23.93
2oc5/w1/	1.68	36.42	23.92
2oc5/w2/	1.68	36.42	24.18
2oc5/w3/	1.68	36.42	23.42
2od5/w1/	1.79	58.42	24.79
2od5/w2/	1.85	58.42	25.19
2od6/w1/	1.85	21.39	29.81
2od6/w2/	1.9	21.39	32.1
2od6/w3/	1.9	21.39	31.83
2oh3/w1/	2	39.16	31.61
2oh3/w2/	2	39.16	31.7
2okc/w1/	2.2	48.84	38.09
2okc/w2/	2.21	48.84	38.15
2okc/w3/	2.21	48.84	38.13
2okf/w1/	1.6	30.02	17.46
2okf/w2/	1.6	30.02	17.64
2okf/w3/	1.6	30.02	17.93
2ooj/w1/	1.84	51.69	24.65
2opk/w1/	2.1	26.51	23.68
2opk/w2/	2.1	26.51	24.24
2opk/w3/	2.1	26.51	24.07
2osd/w1/	2.3	71.04	51.09
2osd/w2/	2.3	71.04	51.54
2osd/w3/	2.3	71.04	51.37
2otm/w1/	1.85	29.79	18.48
2otm/w2/	1.85	29.79	19.12
2otm/w3/	1.9	29.79	21.51
2ozg/w1/	2	32.7	30.21
2ozg/w2/	2.05	32.7	30.32
2ozg/w3/	2.05	32.7	32.23
2ozj/w1/	1.6	21.26	22.24
2ozj/w2/	1.6	21.26	22.18
2ozj/w3/	1.6	21.26	22.05
2p10/w1/	2.15	49.81	33.41
2p10/w2/	2.13	49.81	34.26
2p4o/w1/	1.9	47.63	34.56
2p4o/w2/	1.95	47.63	36.37
2p4o/w3/	1.9	47.63	34.73
2p7h/w1/	1.85	34.12	20.95
2p7i/w1/	1.74	30.17	24.36
2p7i/w2/	1.79	30.17	25.79
2p97/w1/	1.65	40.64	22.85
2p97/w2/	1.6	40.64	17.08
2p97/w3/	1.6	40.64	16.71
2p97/w4/	1.6	40.64	17.64
2pg3/w1/	2.4	82.56	47.24
2pg4/w1/	2.21	55.39	47.39
2pg4/w2/	2.21	55.39	47.65
2pgc/w1/	2.53	73.98	50.35
2pgc/w2/	2.6	73.98	51
2pim/w1/	2.2	35.66	35.13
2pim/w2/	2.2	35.66	35.14
2pn1/w1/	2	34.75	26.58
2pn1/w2/	2	34.75	27.41
2pnk/w1/	2	24.38	27.07
2pnk/w2/	2	24.38	27.54
2ppv/w1/	2	51.57	27.06
2ppv/w2/	2.11	51.57	26.36
2pr7/w1/	1.44	30.16	17.95
2pr7/w2/	1.55	30.16	18.99
2prv/w1/	1.3	18.8	12.14
2prv/w2/	1.3	18.8	12.61
2prv/w3/	1.37	18.8	14.55
2prx/w1/	2.01	26.89	18.15
2prx/w2/	2	26.89	18.18
2prx/w3/	2	26.89	18.48
2prx/w4/	2.01	26.89	18.15
2pv4/w1/	1.95	44.14	34.77
2pv4/w2/	1.95	44.14	36.5
2pv4/w3/	1.95	44.14	36.28
2pw4/w1/	1.45	18.55	11.63
2pw4/w2/	1.45	18.55	11.66
2pw4/w3/	1.45	18.55	11.56
3fki/w1/	3.8	114.04	151.11
3k9g/w1/	2.25	48.61	32.27
3km3/w1/	2.1	62.01	18.4
3p96/w1/	2.05	31.85	31.85
3qqc/w1/	3.3	174.75	129.23
1xri/w1/	3.49	28.23	41.52
1y7e/w1/	2.7	53.76	30.41
2aj2/w1/	3.21	39.52	30.64
2pr1/w1/	3.2	75.62	89.54
2wcd/w1/	3.29	128.18	92.47
2wxw/w1/	3.3	203.26	150.28
2xdd/w1/	3.2	112.61	59.32
2zxh/w1/	3.2	61.8	60.39
3caz/w1/	3.34	65.56	124.81
3din/w1/	4.5	357.59	225.94
3dto/w1/	3.32	118.14	70.9
3fx0/w1/	3.29	131.06	116.39
3guw/w1/	3.16	92.37	60.32
3gw7/w1/	3.29	57.25	109.77
3hxk/w1/	3.08	106.37	66.57
3hxp/w1/	3.15	108.01	80.76
3i5d/w1/	3.3	138.95	110.94
3iko/w1/	3.18	120.67	95.39
3lml/w1/	3.3	77.15	55.6
3m6a/w1/	3.4	231.74	108.13
3mv3/w1/	3.25	138.13	95
3ov0/w1/	3.2	47	100.11
3pg5/w1/	3.3	89.3	60.05
3zgx/w1/	3.4	108.44	106.69
3zxu/w1/	3.8	282.48	142.64
4a2n/w1/	3.4	115.16	90.93
4acb/w1/	3.34	207.01	116.3
4ai6/w1/	3.4	193.28	129.43
4aj5/w1/	3.32	152.62	96.78
4aki/w1/	3.7	199.92	135.33
4asn/w1/	3.5	156.8	129.92
4b09/w1/	3.3	202.65	99.92
4biu/w1/	3.65	212.69	143.41
4bql/w1/	3.34	95.84	82.41
4cb0/w1/	3.3	242.27	126.21
4cbv/w1/	3.39	132.86	74.48
4cv5/w1/	3.81	184.02	163.13
4fsx/w1/	3.19	107.74	56.01
4g9i/w1/	4.5	161.49	135
4gkw/w1/	3	114.51	73.09
4h6y/w1/	4.09	143.56	143.68
4hkr/w1/	3.35	208.86	74.28
4hnd/w1/	3.2	86	67.23
4ifq/w1/	3.25	91.74	74.53
4lck/w1/	3.2	230.49	114.73
4m2s/w1/	4.31	461.69	202.53
4nha/w1/	3.4	158.51	104.71
4nsc/w1/	3.2	79.12	60.28
4nt5/w1/	3.28	89.32	120.96
4px7/w1/	3.2	94.28	97.68
4q8j/w1/	3.8	114.47	112.11
4qka/w1/	3.19	185.54	91.09
4tq5/w1/	3.2	118.62	91.28
