key	dmin	B	dmin_resol
4ifq/w1/	3.25	74.53	3.25
4lck/w1/	3.2	114.73	3.2
4m2s/w1/	4.31	202.53	4.31
4nha/w1/	3.4	104.71	3.4
4nsc/w1/	3.2	60.28	3.2
4nt5/w1/	3.28	120.96	3.28
4px7/w1/	3.2	97.68	3.2
4q8j/w1/	3.8	112.11	3.8
4qka/w1/	3.19	91.09	3.19
4tq5/w1/	3.2	91.28	3.2
